model_name,model_version,accuracy,status
"tf_efficientnetv2_s.in21k","v1.3.1",97.87,Success
"tf_efficientnetv2_s.in21k","v1.3.2",97.65,Success
"tf_efficientnetv2_s.in21k","v1.3.3",97.65,Success
"tf_efficientnetv2_s.in21k","v1.3.4",97.36,Success
"tf_efficientnetv2_s.in21k","v1.3.5",97.76,Success
"tf_efficientnetv2_s.in21k","v1.3.a5",N/A,Skipped
"vit-base-patch16-224","v2.3.1",98.48,Success
"vit-base-patch16-224","v2.3.2",98.68,Success
"vit-base-patch16-224","v2.3.3",98.55,Success
"vit-base-patch16-224","v2.3.4",98.75,Success
"vit-base-patch16-224","v2.3.5",98.79,Success
"vit-base-patch16-224","v2.3.a5",N/A,Skipped
"vit-base-patch16-384","v3.3.1",98.84,Success
"vit-base-patch16-384","v3.3.2",98.92,Success
"vit-base-patch16-384","v3.3.3",98.9,Success
"vit-base-patch16-384","v3.3.4",98.92,Success
"vit-base-patch16-384","v3.3.5",98.92,Success
"vit-base-patch16-384","v3.3.a5",N/A,Skipped
"tf_efficientnetv2_l.in21k_ft_in1k","v4.3.1",98.42,Success
"tf_efficientnetv2_l.in21k_ft_in1k","v4.3.2",98.46,Success
"tf_efficientnetv2_l.in21k_ft_in1k","v4.3.3",98.5,Success
"tf_efficientnetv2_l.in21k_ft_in1k","v4.3.4",98.42,Success
"tf_efficientnetv2_l.in21k_ft_in1k","v4.3.5",98.62,Success
"tf_efficientnetv2_l.in21k_ft_in1k","v4.3.a5",N/A,Skipped
"vit-large-patch16-384","v5.3.1",99.08,Success
"vit-large-patch16-384","v5.3.2",99.12,Success
"vit-large-patch16-384","v5.3.3",98.92,Success
"vit-large-patch16-384","v5.3.4",98.94,Success
"vit-large-patch16-384","v5.3.5",99.05,Success
"vit-large-patch16-384","v5.3.a5",N/A,Skipped
"regnety_120.sw_in12k_ft_in1k","v6.3.1",98.18,Success
"regnety_120.sw_in12k_ft_in1k","v6.3.2",98.22,Success
"regnety_120.sw_in12k_ft_in1k","v6.3.3",98.29,Success
"regnety_120.sw_in12k_ft_in1k","v6.3.4",98.02,Success
"regnety_120.sw_in12k_ft_in1k","v6.3.5",98.29,Success
"regnety_120.sw_in12k_ft_in1k","v6.3.a5",N/A,Skipped
"regnety_160.swag_ft_in1k","v7.3.1",99.16,Success
"regnety_160.swag_ft_in1k","v7.3.2",98.92,Success
"regnety_160.swag_ft_in1k","v7.3.3",98.72,Success
"regnety_160.swag_ft_in1k","v7.3.4",98.84,Success
"regnety_160.swag_ft_in1k","v7.3.5",98.95,Success
"regnety_160.swag_ft_in1k","v7.3.a5",N/A,Skipped
"regnety_640.seer","v8.3.1",98.64,Success
"regnety_640.seer","v8.3.2",97.85,Success
"regnety_640.seer","v8.3.3",98.57,Success
"regnety_640.seer","v8.3.4",98.4,Success
"regnety_640.seer","v8.3.5",98.79,Success
"regnety_640.seer","v8.3.a5",N/A,Skipped
"dit-base-finetuned-rvlcdip","v9.3.1",98.68,Success
"dit-base-finetuned-rvlcdip","v9.3.2",98.53,Success
"dit-base-finetuned-rvlcdip","v9.3.3",98.72,Success
"dit-base-finetuned-rvlcdip","v9.3.4",98.48,Success
"dit-base-finetuned-rvlcdip","v9.3.5",98.39,Success
"dit-base-finetuned-rvlcdip","v9.3.a5",N/A,Skipped
"dit-large-finetuned-rvlcdip","v10.3.1",98.55,Success
"dit-large-finetuned-rvlcdip","v10.3.2",98.62,Success
"dit-large-finetuned-rvlcdip","v10.3.3",98.66,Success
"dit-large-finetuned-rvlcdip","v10.3.4",98.66,Success
"dit-large-finetuned-rvlcdip","v10.3.5",98.42,Success
"dit-large-finetuned-rvlcdip","v10.3.a5",N/A,Skipped
"dit-large","v11.3.1",98.07,Success
"dit-large","v11.3.2",98.53,Success
"dit-large","v11.3.3",98.44,Success
"dit-large","v11.3.4",98.35,Success
"dit-large","v11.3.5",98.42,Success
"dit-large","v11.3.a5",N/A,Skipped
"tf_efficientnetv2_m.in21k_ft_in1k","v12.3.1",98.83,Success
"tf_efficientnetv2_m.in21k_ft_in1k","v12.3.2",98.53,Success
"tf_efficientnetv2_m.in21k_ft_in1k","v12.3.3",98.42,Success
"tf_efficientnetv2_m.in21k_ft_in1k","v12.3.4",98.02,Success
"tf_efficientnetv2_m.in21k_ft_in1k","v12.3.5",98.48,Success
"tf_efficientnetv2_m.in21k_ft_in1k","v12.3.a5",N/A,Skipped
